,pinyin,MC (B&S),GSR,漢語大字典,廣韻,
挨,ai1,'eajX,0938c,31888.050,271.35 274.44,13
哀,ai1,'oj,0550h,10620.100,099.05,6
唉,ai1,'oj,0938a,10635.060,099.07 271.36,13
埃,ai1,'oj,0938b,10447.150,099.06,6
欸,ai1,'oj,0938d,32140.110,099.09 274.41 385.22,20
挨,ai1,'ojX,0938c,31888.050,271.35 274.44,13
藹,ai3,'ajH,0313a',53328.030,380.08,6
喝,ai4,'aejH,0313k,10653.130,387.09 483.09,13
餲,ai4,'aejH,0313y,74464.050,378.27 387.10 483.01 483.44,27
餲,ai4,'at,0313y,74464.050,378.27 387.10 483.01 483.44,27
阸,ai4,'eaH,0844g,64124.010,383.40 515.43,13
阨,ai4,'eaH,0844h,64116.080,,0
隘,ai4,'eaH,0849h,64152.150,383.38,6
僾,ai4,'j+jX,0508d,10226.080,254.45 390.39,13
餲,ai4,'jejH,0313y,74464.050,378.27 387.10 483.01 483.44,27
愛,ai4,'ojH,0508a,42323.010,390.35,6
曖,ai4,'ojH,0508b,21538.170,390.38,6
薆,ai4,'ojH,0508c,53304.040,390.42,6
僾,ai4,'ojH,0508d,10226.080,254.45 390.39,13
艾,ai4,ngajH,0347c,53172.090,380.05 391.49,13
硋,ai4,ngojH,0937t,42430.130,390.29,6
閡,ai4,ngojH,0937u,74299.020,390.31,6
礙,ai4,ngojH,0956g,42461.110,390.28,6
安,an1,'an,0146a,20913.090,121.24,6
韽,an1,'om,0651h',74498.060,222.04 445.13,13
儑,an2,ngom,0644a,10230.110,442.24 536.39 537.66,20
晻,an3,'omX,0614e,21517.130,330.35 335.10,13
㜝,an3,ngomX,0651k',21077.150,331.17,6
按,an4,'anH,0146d,31876.010,401.03,6
案,an4,'anH,0146e,21207.080,401.04,6
黬,an4,'eamX,0671k,74752.110,229.42 230.11,13
晻,an4,'omH,0614e,21517.130,330.35 335.10,13
暗,an4,'omH,0653h,21526.060,442.02,6
闇,an4,'omH,0653i,74309.070,442.03,6
黬,an4,keam,0671k,74752.110,229.42 230.11,13
犴,an4,nganH,0139c',21332.040,121.11 401.36,13
豻,an4,nganH,0139d',63908.030,121.10 128.46 400.25 401.37,27
岸,an4,nganH,0139e',10766.040,401.35,6
卬,ang2,ngang,0699a,10310.120,183.29 311.18,13
昂,ang2,ngang,0699b,21495.030,183.32,6
盎,ang4,'angH,0718i,42559.090,315.02 427.24,13
坳,ao1,'aew,1115j,10436.090,154.38,6
謷,ao2,ngaew,1130l,64003.100,153.59 158.15 417.40,20
翶,ao2,ngaw,1040h,53356.011,,0
敖,ao2,ngaw,1130a,21456.130,158.02,6
遨,ao2,ngaw,1130c,63869.040,158.03,6
嗷,ao2,ngaw,1130e,10664.040,158.17,6
嗸,ao2,ngaw,1130f,10664.050,158.16,6
摮,ao2,ngaw,1130g,31927.020,158.20,6
熬,ao2,ngaw,1130h,32226.040,158.07,6
獒,ao2,ngaw,1130j,21364.100,158.09,6
螯,ao2,ngaw,1130k,42875.070,158.14,6
謷,ao2,ngaw,1130l,64003.100,153.59 158.15 417.40,20
驁,ao2,ngaw,1130m,74568.070,158.06 417.38,13
鼇,ao2,ngaw,1130o,74770.200,158.13,6
䴠,ao3,'awX,1141k,74728.100,303.34,6
媼,ao3,'awX,1244e,21071.211,303.35,6
奧,ao4,'awH,1045a,10547.031,418.29,6
澳,ao4,'awH,1045b,31744.080,418.39 458.15,13
隩,ao4,'awH,1045c,64160.070,418.33 458.16,13
傲,ao4,ngaw,1130d,10199.060,417.34,6
傲,ao4,ngawH,1130d,10199.060,417.34,6
謷,ao4,ngawH,1130l,64003.100,153.59 158.15 417.40,20
巴,ba1,pae,0039a,20985.010,167.32,6
芭,ba1,pae,0039c,53185.050,167.36,6
豝,ba1,pae,0039d,63612.050,167.35,6
八,ba1,peat,0281a,10241.030,488.29,6
軷,ba2,bajH,0276e,53520.060,382.44 487.31,13
癹,ba2,bat,0275b,42760.060,487.36,6
犮,ba2,bat,0276a,21331.020,487.38,6
跋,ba2,bat,0276b,63694.020,487.25,6
魃,ba2,bat,0276c,74430.050,487.29,6
坺,ba2,bat,0276d,10430.080,477.48 487.46,13
軷,ba2,bat,0276e,53520.060,382.44 487.31,13
茇,ba2,bat,0276g,53189.020,485.33 487.48,13
拔,ba2,bat,0276h,31850.030,477.45 487.40 488.06,20
拔,ba2,beat,0276h,31850.030,477.45 487.40 488.06,20
坺,ba2,bjot,0276d,10430.080,477.48 487.46,13
胈,ba2,pat,0276f,32057.070,487.41,6
把,ba3,paeX,0039b,31845.040,309.12,6
杷,ba4,baeH,0039e,21175.080,169.17 384.13 424.07,20
耙,ba4,baeH,0039e,42771.040,,0
罷,ba4,beaX,0026a,42924.120,045.18 241.26 270.51,20
霸,ba4,paeH,0772b,64077.190,423.23,6
白,bai2,baek,0782a,42642.010,510.24,6
百,bai3,paek,0781a,42643.010,510.32,6
柏,bai3,paek,0782j,21185.030,510.33,6
捭,bai3,peaX,0874r,31899.010,271.08,6
敗,bai4,baejH,0320f,21462.020,386.46 387.19,13
稗,bai4,beaH,0874s,42613.110,384.11,6
粺,bai4,beaH,0874t,53152.140,384.10,6
敗,bai4,paejH,0320f,21462.020,386.46 387.19,13
𣀕,bai4,paejH,0320g,21479.060,386.47,6
拜,bai4,peajH,0328a,31846.070,385.55,6
班,ban1,paen,0190a,21113.030,128.13,6
斑,ban1,paen,0190c,21123.040,128.18,6
頒,ban1,paen,0471p,74362.010,110.44 128.14,13
肦,ban1,paen,0471y,32050.050,,0
般,ban1,pan,0182a,53057.080,126.36 127.16 128.21,20
搬,ban1,pan,,31933.020,,0
阪,ban3,baenX,0262g,64117.120,281.10 287.02,13
昄,ban3,baenX,0262n,21491.030,286.27 286.41 287.03,20
板,ban3,paenX,0262j,21172.030,286.38,6
版,ban3,paenX,0262k,32015.040,286.37,6
鈑,ban3,paenX,0262l,64177.050,286.42,6
昄,ban3,paenX,0262n,21491.030,286.27 286.41 287.03,20
阪,ban3,pjonX,0262g,64117.120,281.10 287.02,13
叛,ban4,banH,0181l,10398.020,404.42,6
伴,ban4,banX,0181c,10139.010,286.15 404.45,13
辧,ban4,beanH,0219c,64042.040,,0
辦,ban4,beanH,0219f,64042.050,406.12,6
扮,ban4,bjun,0471l,31840.080,111.17 271.20 278.40 278.43 406.22,34
扮,ban4,bjunX,0471l,31840.080,111.17 271.20 278.40 278.43 406.22,34
半,ban4,panH,0181a,10046.010,404.27,6
靽,ban4,panH,0181b,74332.040,404.29,6
旁,bang1,paeng,0740f',32179.020,183.23,6
邦,bang1,paewng,1197e,63756.140,039.29,6
蚌,bang4,baewngX,1197d,42836.050,240.14,6
蜯,bang4,baewngX,1197g',42858.070,240.15,6
傍,bang4,bangH,0740m',10205.060,183.16 427.30,13
蒡,bang4,paeng,0740r',53269.010,185.06 314.01,13
榜,bang4,paengH,0740p',21268.120,185.03 313.45 430.10,20
謗,bang4,pangH,0740k',64008.040,428.20,6
包,bao1,paew,1113a,10257.060,153.33,6
胞,bao1,paew,1113b,32062.070,153.34 153.38,13
苞,bao1,paew,1113c,53195.060,153.36,6
襃,bao1,paw,1057h,53110.010,,0
襃,bao1,pawH,1057h,53110.010,,0
胞,bao1,phaew,1113b,32062.070,153.34 153.38,13
雹,bao2,baewk,1113n,64061.050,465.54,6
飽,bao3,paewX,1113d,74448.120,299.40,6
保,bao3,pawX,1057a,10160.040,303.16,6
葆,bao3,pawX,1057f,53250.090,303.23,6
褓,bao3,pawX,1057g,53103.110,303.20,6
寶,bao3,pawX,1059a,20958.030,303.14,6
鴇,bao3,pawX,1060b,74620.080,303.22,6
鞄,bao4,baewH,1113m,74331.120,154.29 300.38 416.43 466.13,27
鮑,bao4,baewX,1113h,74683.010,300.35,6
鞄,bao4,baewX,1113m,74331.120,154.29 300.38 416.43 466.13,27
虣,bao4,bawH,1061a,42828.170,418.18,6
袍,bao4,bawH,1113i,53084.060,157.15,6
暴,bao4,bawH,1136a,21532.150,418.17 451.55,13
曝,bao4,bawH,1136b,21540.130,418.19 452.01,13
瀑,bao4,bawH,1136c,31778.010,418.20 452.02,13
抱,bao4,bawX,1113j,31856.040,301.27,6
豹,bao4,paewH,1244k,63908.060,415.39,6
報,bao4,pawH,1058a,10466.040,418.26,6
悲,bei1,pij,0579u,42310.040,057.26,6
陂,bei1,pje,0025i,64124.050,043.23 347.04,13
碑,bei1,pje,0874d,42438.060,043.25,6
卑,bei1,pjie,0874a,10063.010,047.06,6
杯,bei1,pwoj,0999o,21166.020,098.23,6
桮,bei1,pwoj,0999p,21212.030,098.22,6
北,bei3,pok,0909a,10262.040,530.19,6
拔,bei4,bajH,0276h,31850.030,477.45 487.40 488.06,20
憊,bei4,beajH,0984h,42350.120,386.09,6
備,bei4,bijH,0984d,10200.080,351.50,6
犕,bei4,bijH,0984g,31816.210,352.03,6
被,bei4,bjeH,0025e,53085.110,241.25 347.08,13
鞁,bei4,bjeH,0025f,74332.140,347.09,6
被,bei4,bjeX,0025e,53085.110,241.25 347.08,13
埤,bei4,bjieX,0874k,10454.050,047.22,6
孛,bei4,bwojH,0491a,21011.050,387.38 480.33,13
悖,bei4,bwojH,0491d,42302.150,387.43 480.23,13
誖,bei4,bwojH,0491e,63974.070,387.42 389.32 480.30,20
背,bei4,bwojH,0909e,32058.040,387.44 389.30,13
偝,bei4,bwojH,0909f,10188.140,387.41,6
焙,bei4,bwojH,,32210.130,,0
倍,bei4,bwojX,0999c',10183.040,275.01,6
誖,bei4,bwot,0491e,63974.070,387.42 389.32 480.30,20
貝,bei4,pajH,0320a,63622.010,381.07,6
背,bei4,pwojH,0909e,32058.040,387.44 389.30,13
賁,ben1,pwon,0437a,63630.040,064.45 110.53 119.45 346.50,27
奔,ben1,pwon,0438a,10533.010,119.44 400.07,13
犇,ben1,pwon,0438d,31813.060,119.47,6
畚,ben3,pwonX,0439a,42539.060,,0
本,ben3,pwonX,0440a,21151.010,282.21,6
獖,ben4,bwonH,0437g,21367.110,283.22,6
祊,beng1,paeng,0740j',42389.030,184.42,6
𥛱,beng1,paeng,0750e,42407.230,184.43,6
絣,beng1,peang,0824l,53399.040,189.39,6
伻,beng1,peang,0825e,10131.060,189.21,6
繃,beng1,peang,0886o,53443.090,189.38,6
崩,beng1,pong,0886m,10781.140,201.17,6
唪,beng3,buwngX,1197d',10635.110,237.34 238.24,13
䋽,beng3,paewngX,1197l,53422.060,,0
鞛,beng3,puwngX,0999f',74340.040,,0
唪,beng3,puwngX,1197d',10635.110,237.34 238.24,13
琫,beng3,puwngX,1197e',21119.030,237.09,6
菶,beng3,puwngX,1197f',53227.050,237.10 237.33,13
䋽,beng3,puwngX,1197l,53422.060,,0
蠯,beng4,beangX,0874v,42907.130,047.27 093.12 317.37,20
蠯,beng4,bjie,0874v,42907.130,047.27 093.12 317.37,20
迸,beng4,peangH,0824m,63832.050,430.24,6
堋,beng4,pongH,0886k,10455.090,201.38 202.23 434.12,20
塴,beng4,pongH,0886l,10480.130,,0
紕,bi1,pej,0566t,53372.030,047.31 058.26 254.17,20
偪,bi1,pik,0933n,10187.020,453.18 527.51,13
逼,bi1,pik,0933p,63856.080,527.50,6
偪,bi1,pjuwk,0933n,10187.020,453.18 527.51,13
仳,bi2,bjij,0566s,10121.010,052.20 246.29 249.36,20
鼻,bi2,bjijH,0521c,74779.010,355.02,6
吡,bi3,phjieX,0566d',10588.030,246.31 471.47,13
疕,bi3,phjieX,0566l,42659.100,246.28 248.14 250.08,20
疕,bi3,phjijX,0566l,42659.100,246.28 248.14 250.08,20
啚,bi3,pijX,0983a,10638.110,082.44 247.22,13
鄙,bi3,pijX,0983e,63792.080,247.21,6
否,bi3,pijX,0999e,10586.050,249.33 323.07,13
筆,bi3,pit,0502d,52970.090,472.41,6
彼,bi3,pjeX,0025g,20817.100,241.20,6
俾,bi3,pjieX,0874c,10180.020,245.01,6
鞞,bi3,pjieX,0874x,74339.110,047.11 090.38 245.02 320.29,27
匕,bi3,pjijH,0566a,10261.150,248.06,6
匕,bi3,pjijX,0565a,10261.150,248.06,6
朼,bi3,pjijX,0565b,21156.010,248.13,6
比,bi3,pjijX,0566g,21415.080,052.08 248.09 355.03 355.20 471.31,34
疕,bi3,pjijX,0566l,42659.100,246.28 248.14 250.08,20
枇,bi3,pjijX,0566m,21167.090,052.19 248.12 355.04,20
妣,bi3,pjijX,0566n,21030.080,248.07,6
秕,bi3,pjijX,0566q,42593.080,248.08,6
粃,bi3,pjijX,0566r,53142.150,,0
薜,bi4,bejH,0853x,53308.140,374.19 513.50,13
梐,bi4,bejX,0566b',21212.070,088.61 270.14,13
陛,bi4,bejX,0566c',64130.050,270.13,6
髀,bi4,bejX,0874f,74414.020,245.05 248.15 270.15,20
辟,bi4,bek,0853a,64037.080,519.23 519.42 519.50,20
綼,bi4,bek,0874g,53416.040,471.41 523.47,13
苾,bi4,bet,0405g,53197.030,471.34 496.03,13
飶,bi4,bet,0405h,74449.010,471.40 496.06,13
奰,bi4,biH,1237r,10550.120,351.55,6
奰,bi4,bijH,1237r,10550.120,351.55,6
愎,bi4,bik,1034k,42329.060,528.53,6
㧙,bi4,bit,0405e,31859.010,,0
駜,bi4,bit,0405f,74550.020,471.38 472.27,13
弼,bi4,bit,0406e,20999.130,472.21,6
避,bi4,bjieH,0853u,63891.050,346.15,6
敝,bi4,bjiejH,0341a,21461.040,376.37,6
幣,bi4,bjiejH,0341d,10753.010,376.35,6
弊,bi4,bjiejH,0341e,10518.170,,0
斃,bi4,bjiejH,0341f,21478.050,376.34,6
獘,bi4,bjiejH,0341g,21367.020,,0
辟,bi4,bjiek,0853a,64037.080,519.23 519.42 519.50,20
綼,bi4,bjiek,0874g,53416.040,471.41 523.47,13
婢,bi4,bjieX,0874l,21059.140,245.25,6
庳,bi4,bjieX,0874m,20889.020,245.26,6
比,bi4,bjijH,0566g,21415.080,052.08 248.09 355.03 355.20 471.31,34
紕,bi4,bjijH,0566t,53372.030,047.31 058.26 254.17,20
坒,bi4,bjijH,0566y,10422.080,355.06 471.39,13
怭,bi4,bjit,0405d,42287.130,471.43,6
苾,bi4,bjit,0405g,53197.030,471.34 496.03,13
飶,bi4,bjit,0405h,74449.010,471.40 496.06,13
綼,bi4,bjit,0874g,53416.040,471.41 523.47,13
觱,bi4,hjut,1257g,63930.050,471.09 476.41,13
閉,bi4,pejH,0412a,74283.080,373.40 495.23,13
嬖,bi4,pejH,0853v,21085.100,373.42,6
篦,bi4,pejH,,53002.010,088.60,6
壁,bi4,pek,0853l,10494.080,523.43,6
柲,bi4,pijH,0405j,21189.040,351.22 471.32 472.44 496.08,27
毖,bi4,pijH,0405k,21418.030,351.19,6
泌,bi4,pijH,0405l,31595.040,351.24 471.44 472.45,20
閟,bi4,pijH,0405n,74293.110,351.20,6
楅,bi4,pik,0933l,21245.040,453.19 527.54,13
湢,bi4,pik,0933o,31671.020,527.56,6
柲,bi4,pit,0405j,21189.040,351.22 471.32 472.44 496.08,27
碧,bi4,pjaek,0782s,42441.060,520.01,6
詖,bi4,pje,0025h,63960.020,043.24 347.02,13
詖,bi4,pjeH,0025h,63960.020,043.24 347.02,13
跛,bi4,pjeH,0025m,63699.040,307.04 347.05,13
賁,bi4,pjeH,0437a,63630.040,064.45 110.53 119.45 346.50,27
裨,bi4,pjie,0874e,53099.020,047.10 047.23,13
臂,bi4,pjieH,0853s,32119.080,347.17,6
蔽,bi4,pjiejH,0341h,53277.190,376.51,6
鷩,bi4,pjiejH,0341i,74656.120,311.50 376.53 498.19,20
辟,bi4,pjiek,0853a,64037.080,519.23 519.42 519.50,20
璧,bi4,pjiek,0853d,21142.160,519.43,6
躃,bi4,pjiek,0853g,63745.040,519.21,6
躄,bi4,pjiek,0853h,63745.050,519.45,6
鷩,bi4,pjiet,0341i,74656.120,311.50 376.53 498.19,20
髀,bi4,pjieX,0874f,74414.020,245.05 248.15 270.15,20
庇,bi4,pjij,0566p,20874.050,355.17,6
畀,bi4,pjijH,0521a,42530.060,355.16,6
比,bi4,pjijH,0566g,21415.080,052.08 248.09 355.03 355.20 471.31,34
妣,bi4,pjijH,0566n,21030.080,248.07,6
庇,bi4,pjijH,0566p,20874.050,355.17,6
必,bi4,pjit,0405a,42267.020,470.56,6
珌,bi4,pjit,0405c,21108.100,471.10,6
畢,bi4,pjit,0407a,42535.090,470.57,6
罼,bi4,pjit,0407d,42925.060,471.24,6
㪤,bi4,pjit,0407e,21475.020,471.07,6
彃,bi4,pjit,0407i,21001.210,471.14,6
篳,bi4,pjit,0407j,53000.060,470.58,6
縪,bi4,pjit,0407k,53435.090,471.16,6
蹕,bi4,pjit,0407l,63728.080,471.05,6
韠,bi4,pjit,0407m,74509.080,471.02,6
觱,bi4,pjit,1257g,63930.050,471.09 476.41,13
楅,bi4,pjuwk,0933l,21245.040,453.19 527.54,13
邊,bian1,pen,0224c,63894.030,136.13,6
編,bian1,pen,0246e,53431.050,136.20 141.33 289.34,20
猵,bian1,pen,0246i,21360.050,136.18 276.15,13
猵,bian1,phjienH,0246i,21360.050,136.18 276.15,13
鞭,bian1,pjien,0221c,74343.060,141.30,6
籩,bian1,pjien,0224f,53033.180,136.14,6
編,bian1,pjien,0246e,53431.050,136.20 141.33 289.34,20
扁,bian3,penX,0246a,32261.110,139.25 289.43 290.11 294.52,27
萹,bian3,penX,0246l,53257.060,136.21 139.26 289.38,20
貶,bian3,pjaemX,0641d,63628.030,334.06,6
窆,bian3,pjemH,0641c,42724.050,443.47,6
貶,bian3,pjemX,0641d,63628.030,334.06,6
惼,bian3,pjienX,0246f,42331.110,289.41,6
褊,bian3,pjienX,0246g,53104.130,293.08,6
窆,bian3,pongH,0641c,42724.050,443.47,6
釆,bian4,beanH,0195a,63898.010,406.14,6
釆,bian4,ben,0195a,63898.010,406.14,6
編,bian4,benX,0246e,53431.050,136.20 141.33 289.34,20
辮,bian4,benX,,64044.060,290.08,6
弁,bian4,bjenH,0220a,10514.070,411.08,6
卞,bian4,bjenH,0220b,10092.030,411.05,6
抃,bian4,bjenH,0220c,31843.020,411.07,6
辨,bian4,bjenX,0219b,64041.060,292.50 406.11,13
辧,bian4,bjenX,0219c,64042.040,,0
辯,bian4,bjenX,0219e,64045.010,292.47,6
便,bian4,bjienH,0221a,10157.030,139.27 412.10,13
諞,bian4,bjienH,0246m,64002.060,139.31 292.51 294.51,20
便,bian4,bjienX,0221a,10157.030,139.27 412.10,13
諞,bian4,bjienX,0246m,64002.060,139.31 292.51 294.51,20
徧,bian4,penH,0246b,20836.090,412.19,6
遍,bian4,penH,0246c,63867.010,412.20,6
變,bian4,pjenH,0178o,21481.070,410.57,6
辡,bian4,pjenX,0219a,64040.030,292.49 293.18,13
苞,biao1,bjewX,1113c,53195.060,153.36,6
滮,biao1,bjiw,1106b,31721.050,,0
滮,biao1,bjuw,1106b,31721.050,,0
麃,biao1,pjew,1170a,74728.160,154.26 299.30,13
儦,biao1,pjew,1170b,10235.120,149.47,6
瀌,biao1,pjew,1170c,31780.070,149.48 216.19,13
穮,biao1,pjew,1170d,42638.220,,0
鑣,biao1,pjew,1170e,64270.140,149.44,6
髟,biao1,pjiew,1154a,74518.010,149.43 216.09 231.08,20
猋,biao1,pjiew,1155a,21351.020,149.31,6
驫,biao1,pjiew,1156a,74585.070,149.39 216.10,13
𤒾,biao1,pjiew,1157c,32249.110,,0
標,biao1,pjiew,1157d,21277.010,149.30 298.53,13
摽,biao1,pjiew,1157l,31943.060,151.27 297.37 414.19,20
彪,biao1,pjiw,1106a,42820.110,216.08,6
髟,biao1,pjiw,1154a,74518.010,149.43 216.09 231.08,20
驫,biao1,pjiw,1156a,74585.070,149.39 216.10,13
表,biao3,pjewX,1153a,10021.120,298.47,6
摽,biao4,bjiewX,1157l,31943.060,151.27 297.37 414.19,20
憋,bie1,phjiet,0341l,42342.030,498.24 499.45,13
虌,bie1,pjiet,0341j,53340.060,498.21,6
鱉,bie1,pjiet,0341k,74710.050,,0
蹩,bie2,bet,0341m,63734.080,495.61,6
覕,bie2,bet,0405i,63667.120,393.07 495.12,13
別,bie2,bjet,0292a,10328.130,499.47 500.04,13
別,bie2,pjet,0292a,10328.130,499.47 500.04,13
彬,bin1, pin,0474c,20854.150,106.17,6
繽,bin1,phjin,0389l,53464.100,104.29,6
份,bin1,pin,0471u,10124.120,106.19,6
賔,bin1,pjin,0389a,63644.010,103.16,6
濱,bin1,pjin,0389j,31773.070,,0
臏,bin4,binX,0389r,32121.110,276.14,6
髕,bin4,bjinX,0389q,74421.040,276.13,6
賔,bin4,pjinH,0389a,63644.010,103.16,6
儐,bin4,pjinH,0389g,10232.030,103.22 393.03,13
擯,bin4,pjinH,0389h,31977.020,393.04,6
殯,bin4,pjinH,0389i,21395.170,393.05,6
鬢,bin4,pjinH,0389k,74537.040,393.06,6
掤,bing1,ping,0886n,31902.030,199.25,6
冫,bing1,ping,0899a,10295.010,199.23,6
冰,bing1,ping,0899b,10295.090,199.24,6
兵,bing1,pjaeng,0759a,10244.040,186.33,6
并,bing1,pjieng,0824a,10242.060,192.33 431.19,13
屏,bing1,pjieng,0824f,20973.040,192.36 197.45 318.30,20
偋,bing3,bjiengH,0824g,10198.020,431.20,6
禀,bing3,limX,0668b,42401.140,,0
鞞,bing3,pengX,0874x,74339.110,047.11 090.38 245.02 320.29,27
稟,bing3,pimX,0668a,42615.080,329.37,6
禀,bing3,pimX,0668b,42401.140,,0
怲,bing3,pjaengH,0757g,42284.030,316.02 429.27,13
丙,bing3,pjaengX,0757a,10016.030,315.52,6
怲,bing3,pjaengX,0757g,42284.030,316.02 429.27,13
炳,bing3,pjaengX,0757i,32194.150,316.04,6
邴,bing3,pjaengX,0757j,63762.010,316.03 429.28,13
秉,bing3,pjaengX,0758a,42592.050,316.05,6
綆,bing3,pjiengX,0745f,53401.090,315.47,6
屏,bing3,pjiengX,0824f,20973.040,192.36 197.45 318.30,20
餅,bing3,pjiengX,,74453.010,318.29,6
併,bing4,bengX,0824d,10153.030,318.32 320.48 431.18,20
竝,bing4,bengX,0840a,42708.090,320.45,6
並,bing4,bengX,0840b,10246.020,320.46,6
凭,bing4,bingH,0900a,10277.220,199.18 433.26,13
病,bing4,bjaengH,0757k,42664.130,429.14,6
枋,bing4,pjaengH,0740k,21174.040,175.07,6
柄,bing4,pjaengH,0757h,21179.020,429.25,6
棅,bing4,pjaengH,0758d,21233.070,429.26,6
并,bing4,pjiengH,0824b,10242.060,192.33 431.19,13
併,bing4,pjiengH,0824d,10153.030,318.32 320.48 431.18,20
屏,bing4,pjiengH,0824f,20973.040,192.36 197.45 318.30,20
波,bo1,pa,0025l,31597.070,163.33,6
番,bo1,pa,0195b,42543.040,114.07 114.47 127.11 163.37 420.36,34
剝,bo1,paewk,1228a,10346.040,465.31,6
癶,bo1,pat,0275a,42760.010,485.31,6
發,bo1,pat,0275c,42761.040,479.05,6
撥,bo1,pat,0275d,31964.060,485.30,6
帛,bo2,baek,0782f,10734.060,510.25,6
薄,bo2,bak,0771p,53307.030,507.37,6
礴,bo2,bak,0771q,42464.030,507.38,6
亳,bo2,bak,0773a,10287.090,507.35,6
泊,bo2,bak,0782r,31588.050,507.34,6
踣,bo2,bok,0999e',63718.130,438.20 530.26,13
孛,bo2,bwot,0491a,21011.050,387.38 480.33,13
勃,bo2,bwot,0491b,10370.150,480.16,6
浡,bo2,bwot,0491c,31619.090,480.26,6
悖,bo2,bwot,0491d,42302.150,387.43 480.23,13
艴,bo2,bwot,0500p,53072.050,476.50 480.34,13
渤,bo2,bwot,,31670.070,480.17,6
伯,bo2,paek,0782i,10136.020,510.29,6
駁,bo2,paewk,1127a,74544.090,465.33,6
駮,bo2,paewk,1127c,74555.030,465.32,6
嚗,bo2,paewk,1136e,10699.170,465.36,6
博,bo2,pak,0771a,10066.020,508.31,6
搏,bo2,pak,0771d,31930.010,366.20 507.23 508.33,20
溥,bo2,pak,0771f,31695.040,267.40 508.46,13
鎛,bo2,pak,0771g,64239.050,508.35,6
𨍭,bo2,pak,0771j,53548.100,,0
簙,bo2,pak,0771n,53013.100,508.40,6
拍,bo2,pak,0782m,31854.030,511.50,6
襮,bo2,pak,1136d,53120.180,460.57 508.38,13
襏,bo2,pat,0275e,53116.110,485.40,6
胉,bo2,phak,0782q,32061.060,507.24,6
搏,bo2,pjuH,0771d,31930.010,366.20 507.23 508.33,20
襮,bo2,powk,1136d,53120.180,460.57 508.38,13
跛,bo3,paX,0025m,63699.040,307.04 347.05,13
簸,bo3,paX,0025n,53020.050,307.05 420.35,13
簸,bo4,paH,0025n,53020.050,307.05 420.35,13
播,bo4,paH,0195p,31960.120,420.33,6
譒,bo4,paH,0195q,64019.110,420.37,6
擘,bo4,peak,0853p,31966.050,513.49,6
逋,bu1,pu,0102d',63837.010,085.27,6
餔,bu1,pu,0102e',74454.120,085.28 370.11,13
轐,bu2,puwk,1211i,53556.010,452.26 460.28,13
哺,bu3,buH,0102i',10626.070,370.08,6
捕,bu3,buH,0102j',31878.050,370.07,6
卟,bu3,kej,0587a,10093.020,089.12 269.45,13
卟,bu3,kejX,0587a,10093.020,089.12 269.45,13
卜,bu3,puwk,1210a,10091.110,452.23,6
補,bu3,puX,0102c',53093.050,268.03,6
步,bu4,buH,0073a,21438.060,370.09,6
蔀,bu4,buwX,0999g',53268.110,325.40 327.10,13
瓿,bu4,buwX,0999y,21427.080,078.13 325.36,13
部,bu4,buwX,0999z,63780.090,266.21 325.32,13
簿,bu4,buX,0771o,53023.060,266.20 507.39,13
怖,bu4,phuH,0102m,42284.060,369.46,6
不,bu4,pjuw,0999a,10011.060,208.23 323.08 475.21,20
布,bu4,puH,0102j,10728.050,369.36,6
柎,bu4?,buwX,0136d,21185.010,079.47,6
猜,cai1,tshoj,1240b,21351.070,100.36,6
才,cai2,dzoj,0943a,31824.020,099.49,6
裁,cai2,dzoj,0943c',53086.020,099.46 391.07,13
材,cai2,dzoj,0943g,21158.010,099.50,6
財,cai2,dzoj,0943h,63624.070,099.48,6
彩,cai3,tshojX,0942a,20855.030,274.31,6
采,cai3,tshojX,0942a,63898.020,274.27,6
採,cai3,tshojX,0942d,31901.010,274.28,6
杀,cai4,tshajH,0319a,21155.030,,0
蔡,cai4,tshajH,0337i,53282.100,382.54,6
菜,cai4,tshojH,0942e,53236.100,391.01,6
餐,can1,tshan,0154c,74455.050,121.33,6
參,can1,tshom,0647a,10387.230,220.18 220.41 221.23 224.13 442.17,34
驂,can1,tshom,0647c,74575.180,221.24,6
慙,can2,dzam,0611c,42341.090,224.38,6
𣦼,can2,dzan,0154a,21381.020,,0
殘,can2,dzan,0155c,21389.040,122.30,6
蠶,can2,dzom,0660i,42908.110,222.35,6
慘,can3,tshomX,0647e,42348.110,331.08,6
朁,can3,tshomX,0660c,21518.020,227.44 331.10,13
憯,can3,tshomX,0660e,42353.140,331.09 336.11,13
粲,can4,tshanH,0154b,53148.140,402.06,6
倉,cang1,tshang,0703a,10169.150,180.05,6
凔,cang1,tshang,0703c,10300.070,180.10,6
滄,cang1,tshang,0703d,31703.010,180.09 426.19,13
蒼,cang1,tshang,0703e,53266.100,180.06 315.36,13
鶬,cang1,tshang,0703f,74652.010,180.07,6
凔,cang1,tsrhjangH,0703c,10300.070,180.10,6
藏,cang2,dzang,0727g',53311.110,183.36 427.32,13
操,cao1,tshawH,1134m,31969.030,158.54 326.57 418.10,20
操,cao1,tshawX,1134m,31969.030,158.54 326.57 418.10,20
曹,cao2,dzaw,1053a,21511.060,158.27,6
螬,cao2,dzaw,1053d,42884.020,158.30,6
漕,cao2,dzaw,1053e,31718.020,158.39 418.27,13
槽,cao2,dzaw,,21275.120,157.52 158.29,13
草,cao3,tshawX,1049b,53203.040,302.31,6
