㡃,mang,mang2?,--
踦,gjeX,qi2,qi2
蹲,dzwon,dun1,dun1
輠,hwanX,huan4?,【◎Fix:◎guo3;◎hua4;◎hui4;◎huo3】
輮,nyuwH,rou2,rou2
迋,hjwangX,wang3?,【◎Fix:◎wang4;◎guang3;◎guang4;◎kuang1;◎kuang2】
釀,nyangH,niang4,niang4
釆,ben,bian4,bian4
銚,thew,diao4,diao4
鎮,trinX,zhen4,zhen4
隋,sjweH,sui2,Sui2
隋,xjwieH,sui2,Sui2
靾,sjet,xie4,【◎Fix:◎yi4;◎xi4;◎xie4】
韄,hweak,huo4,【◎Fix:◎huo4;◎hu4】
頯,khwijX,kui3,【◎Fix:◎kui2;◎kuai4;◎kui3;◎qiu2】
餤,yem,yan2,【◎Fix:◎tan2;◎dan4;◎yan2】
馮,bingH,bing4?,【◎Fix:◎ping2;◎Feng2】
驕,khjew,jiao1,jiao1
髁,hwaeX,ke1,ke1
髐,khew,qiao1?,【◎Fix:◎nao2;◎xiao1】
體,trhejX,chi3?,【◎Fix:◎ti3;◎ti1】
鬵,dzjem,qian2,【◎Fix:◎qian2;◎xun2】
鮭,hwae,gui1,gui1
鯀,kwon,gun3,gun3
鱄,dzywenX,zhuan4?,【◎Fix:◎zhuan1;◎lian4;◎shan4;◎tuan2;◎zhuan3】
鱓,dan,shan4,shan4
鶡,khat,he2,he2
鶻,hweat,hu2,【◎Fix:◎gu3;◎hu2】
麇,khwinX,qun2,qun2
黭,'amX,an3?,【◎Fix:◎yan3;◎an4;◎yan1;◎yin4】
